Constituency,No,Name,Gender,Category,Party,General Vote,Postal Vote,Total,PctVotes
Garbeta,2,HEMA CHOUBEY,F,GEN,INC,70812,165,70977,43.08
Garbeta,3,TARAK NATH GAN,M,GEN,BJP,7733,0,7733,4.69
Salboni,1,SRIKANTA MAHATA,M,GEN,AITC,91808,274,92082,47.54
Salboni,2,ABHIRAM MAHATA,M,GEN,CPM,87212,515,87727,45.29
Salboni,3,DHIMAN KUMAR KOLAY,M,GEN,BJP,5436,3,5439,2.81
Salboni,4,TARUN MANNA,M,GEN,IND,3473,0,3473,1.79
Salboni,5,DARKU MURMU,M,ST,JMM,3270,2,3272,1.69
Salboni,6,SUNIL TUDU,M,ST,JDP,1692,0,1692,0.87
Keshpur,1,RAMESWAR DOLOI,M,SC,CPM,103513,388,103901,57.58
Keshpur,2,RAJANI KANTA DOLOI,M,SC,INC,69873,186,70059,38.82
Keshpur,3,DIPAK PATRA,M,SC,BJP,6494,2,6496,3.6
Medinipur,1,MRIGENDRA NATH MAITI,M,GEN,AITC,102285,775,103060,54.43
Medinipur,2,SANTOSH RANA,M,GEN,CPI,73870,970,74840,39.53
Medinipur,3,SUBHAJIT ROY,M,GEN,BJP,4865,15,4880,2.58
Medinipur,4,SANJAY MISHRA,M,GEN,IND,2590,0,2590,1.37
Medinipur,5,ARUN KUMAR ADHIKARI,M,GEN,LJP,1436,0,1436,0.76
Medinipur,6,DILIP KUMAR DAS,M,GEN,IND,724,0,724,0.38
Medinipur,7,PRADYOT SAW,M,GEN,IND,698,1,699,0.37
Medinipur,8,SUNIL KUMAR HEMBRAM,M,ST,JMM,691,0,691,0.36
Medinipur,9,PRATAP KUMAR NAYEK,M,GEN,JD(S),428,0,428,0.23
Binpur,1,DIBAKAR HANSDA,M,ST,CPM,60448,280,60728,41.17
Binpur,2,CHUNIBALA HANSDA,F,ST,JKP(N),53058,60,53118,36.01
Binpur,3,ARJUN HANSDA,M,ST,IND,14449,10,14459,9.8
Binpur,4,SUKUMAR HEMBRAM,M,ST,IND,8714,1,8715,5.91
Binpur,5,PANCHANAN HANSDA,M,ST,BJP,7791,2,7793,5.28
Binpur,6,RAMPADA HANSDA,M,ST,AMB,2703,2,2705,1.83
Bandwan,1,BESRA SUSANTA,M,ST,CPM,86960,223,87183,48.38
Bandwan,2,SITAL CHANDRA HEMBRAM,M,ST,INC,65045,118,65163,36.16
Bandwan,3,CHUNARAM HEMBRAM,M,ST,JMM,10769,0,10769,5.98
Bandwan,4,MANIKA MURMU,F,ST,BJP,6909,3,6912,3.84
Bandwan,5,JAGRAN MURMU,M,ST,IND,4216,1,4217,2.34
Bandwan,6,BISWANATH BASKEY,M,ST,JDP,2338,0,2338,1.3
Bandwan,7,FATIK KUMAR HEMBRAM,M,ST,AJSU,2050,1,2051,1.14
Bandwan,8,JALIM CHANDRA SAREN,M,ST,JVM,1559,0,1559,0.87
Balarampur,1,SHANTIRAM MAHATO,M,GEN,AITC,65095,149,65244,45.79
Balarampur,2,GOPE MANINDRA,M,GEN,CPM,54391,325,54716,38.4
Balarampur,3,UTTAM BANERJEE,M,GEN,IND,9520,9,9529,6.69
Balarampur,4,BATULAL MAHATO,M,GEN,BJP,3525,3,3528,2.48
Balarampur,5,SHAMBHU NATH HEMBROM,M,ST,JDP,2897,0,2897,2.03
Balarampur,6,PRADIPTA MAHATO,M,GEN,JMM,1721,0,1721,1.21
Balarampur,7,SUKANTA MAHATO,M,GEN,AJSU,1605,0,1605,1.13
Balarampur,8,NANDALAL MAHATO,M,GEN,JVM,1519,0,1519,1.07
Balarampur,9,ANSARI TAHIR HUSSEN,M,GEN,IND,932,0,932,0.65
Balarampur,10,MRITYUNJOY MAHATO,M,GEN,IPFB,793,0,793,0.56
Baghmundi,1,NEPAL MAHATA,M,GEN,INC,77300,158,77458,49.48
Baghmundi,2,MANGAL MAHATO,M,GEN,AIFB,59560,254,59814,38.21
Baghmundi,3,RAKESH MAHATO,M,GEN,AJSU,10797,0,10797,6.9
Baghmundi,4,NEPAL MAJHI,M,ST,JDP,2022,1,2023,1.29
Baghmundi,5,DAROGA MAJHI,M,GEN,JVM,1702,0,1702,1.09
Baghmundi,6,SHANKAR KUMAR,M,GEN,BJP,1624,1,1625,1.04
Baghmundi,7,BISAMBAR MURA,M,ST,SUCI,1398,1,1399,0.89
Baghmundi,8,ABHINASH RAJWAR,M,SC,JMM,892,1,893,0.57
Baghmundi,9,PASHUPATI MAHATO,M,GEN,AMB,838,0,838,0.54
Joypur,1,DHIRENDRA NATH MAHATO,M,GEN,AIFB,61820,240,62060,41.48
Joypur,2,SHAKTI PADA MAHATO,M,GEN,IND,51402,47,51449,34.39
Joypur,3,KIRTON CHANDRA MAHATO,M,GEN,AITC,23896,31,23927,15.99
Joypur,4,SHRIPATI MAHATO,M,GEN,BJP,2636,1,2637,1.76
Joypur,5,PADMALOCHON KUMAR,M,GEN,IND,2241,1,2242,1.5
Joypur,6,PABAN MAHATO,M,GEN,JVM,2131,0,2131,1.42
Joypur,7,SWAPAN MAHATO,M,GEN,AJSU,1851,1,1852,1.24
Joypur,8,SANAT KUMAR BESRA,M,ST,JDP,1286,1,1287,0.86
Joypur,9,GAGAN CHANDRA MAHATO,M,GEN,AMB,1133,3,1136,0.76
Purulia,1,K.P. SINGH DEO,M,GEN,AITC,83018,378,83396,53.95
Purulia,2,KAUSHIK MAZUMDAR,M,GEN,CPM,56337,572,56909,36.81
Purulia,3,PANCH KARI MUKHERJEE,M,GEN,BJP,3630,0,3630,2.35
Purulia,4,SANAT SAO,M,GEN,PDS,2699,6,2705,1.75
Purulia,5,SOHAN RAJOWAR,M,SC,JMM,2386,0,2386,1.54
Purulia,6,DHIREN RAJAK,M,SC,IND,2241,0,2241,1.45
Purulia,7,NAREN SAHIS,M,GEN,AJSU,1915,0,1915,1.24
Purulia,8,THURU MAHATO,M,GEN,BSP,1405,2,1407,0.91
Manbazar,1,SANDHYARANI TUDU,F,ST,AITC,78366,154,78520,47.02
Manbazar,2,HIMANI HANSDA,F,ST,CPM,73021,333,73354,43.93
Manbazar,3,GOURI SARDAR,F,ST,BJP,4475,1,4476,2.68
Manbazar,4,BALAHARI MURMU,M,ST,JMM,3175,0,3175,1.9
Manbazar,5,ABHIRAM BESRA,M,ST,JDP,2796,1,2797,1.67
Manbazar,6,LAKSHI KANTA SOREN,M,ST,IND,2114,0,2114,1.27
Manbazar,7,KARTIK SINGH SARDAR,M,ST,PDS,1339,0,1339,0.8
Manbazar,8,SATYAKINKAR MURMU,M,ST,JVM,1220,0,1220,0.73
Kashipur,1,SWAPAN KUMAR BELTHARIYA,M,GEN,AITC,69341,151,69492,44.73
Kashipur,2,SUBHAS CHANDRA MAHATA,M,GEN,CPM,65379,392,65771,42.33
Kashipur,3,SATRUGHNA MURMU,M,ST,JMM,4239,1,4240,2.73
Kashipur,4,PRASANTA SINGH DEO,M,GEN,BJP,3929,4,3933,2.53
Kashipur,5,DILIP MAHATO,M,GEN,IND,3671,0,3671,2.36
Kashipur,6,MANILAL HEMBRAM,M,ST,JDP,2653,0,2653,1.71
Kashipur,7,SANJIT CHAKRABORTY,M,GEN,PDS,1994,0,1994,1.28
Kashipur,8,CHITTARANJAN MAHATO,M,GEN,BSP,1965,0,1965,1.26
Kashipur,9,SUBHAS CHANDRA MAHATO,M,GEN,AJSUP,989,2,991,0.64
Kashipur,10,RAM PRASAD MAJHI,M,ST,JVM,666,0,666,0.43
Para,1,UMAPADA BAURI,M,SC,INC,62132,76,62208,42.6
Para,2,DIPAK BAURI,M,SC,CPM,61386,236,61622,42.2
Para,3,SHIBANI BAURI,F,SC,SUCI,6496,7,6503,4.45
Para,4,CHARAN BAURI,M,SC,JMM,6301,1,6302,4.32
