Constituency,No,Name,Gender,Category,Party,General Vote,Postal Vote,Total,PctVotes
Sitalkuchi,8,Jagadish Adhikari,M,SC,SUCI,691,2,693,0.28
Sitai,1,JAGADISH CHANDRA BARMA BASUNIA,M,SC,AITC,116850,1058,117908,49.42
Sitai,2,DIPAK KUMAR ROY,M,SC,BJP,106723,1073,107796,45.18
Sitai,3,KESHAB CHANDRA RAY,M,SC,INC,3900,64,3964,1.66
Sitai,4,SUNIL MAHANTA,M,SC,IND,2387,4,2391,1.0
Sitai,5,LALCHAND BARMAN,M,SC,IND,1773,3,1776,0.74
Sitai,6,NOTA,,,NOTA,1564,13,1577,0.66
Sitai,7,ANIL CHANDRA BARMAN ROY,M,SC,SUCI,1371,10,1381,0.58
Sitai,8,KASHIKANTA BARMAN,M,SC,IND,862,4,866,0.36
Sitai,9,PROSHANTA BARMAN,M,SC,LJP,548,2,550,0.23
Sitai,10,PRASANNA KUMAR ROY,M,SC,AMB,364,5,369,0.15
Dinhata,1,NISITH PRAMANIK,M,SC,BJP,114361,1674,116035,47.6
Dinhata,2,UDAYAN GUHA,M,GEN,AITC,114887,1091,115978,47.58
Dinhata,3,ABDUR ROUF,M,GEN,AIFB,5916,153,6069,2.49
Dinhata,4,NOTA,,,NOTA,1515,22,1537,0.63
Dinhata,5,LEBU MIYAN,M,GEN,IND,1386,1,1387,0.57
Dinhata,6,PRADIP ROY,M,SC,SUCI,1364,11,1375,0.56
Dinhata,7,NIRMAL CHANDRA BARMAN,M,SC,IND Glass,1361,9,1370,0.56
Natabari,1,Mihir Goswami,M,GEN,BJP,110020,1723,111743,51.45
Natabari,2,Rabindra Nath Ghosh,M,GEN,AITC,87098,1205,88303,40.66
Natabari,3,Akik Hassan,M,GEN,CPI(M),11584,255,11839,5.45
Natabari,4,Sahidul Hossain,M,GEN,IND,1338,3,1341,0.62
Natabari,5,Abdus Salam,M,GEN,SUCI,1178,8,1186,0.55
Natabari,6,NOTA,,,NOTA,1127,19,1146,0.53
Natabari,7,Dalendra Nath Ray,M,SC,AMB,1103,7,1110,0.51
Natabari,8,Ekramul Hoque,M,GEN,UTSAP,500,5,505,0.23
Tufanganj,1,Malati Rava Roy,F,SC,BJP,112609,1894,114503,54.69
Tufanganj,2,Pranab Kumar Dey,M,GEN,AITC,82546,759,83305,39.79
Tufanganj,3,Rabin Roy,M,SC,INC,5804,169,5973,2.85
Tufanganj,4,NOTA,,,NOTA,2047,22,2069,0.99
Tufanganj,5,Sushil Chandra Das,M,SC,IND,1458,3,1461,0.7
Tufanganj,6,Prahallad Layek,M,SC,IND,600,1,601,0.29
Tufanganj,7,Dhananjay Barman,M,SC,IND,541,11,552,0.26
Tufanganj,8,Bhola Saha,M,GEN,SUCI,481,10,491,0.23
Tufanganj,9,Jiban Kumar Saha,M,GEN,AMB,422,1,423,0.2
Kumargram,1,MANOJ KUMAR ORAON,M,ST,BJP,110658,1316,111974,48.16
Kumargram,2,LEOS KUJUR (URAO),M,ST,AITC,100009,964,100973,43.43
Kumargram,3,KISHOR MINJ,M,ST,RSP,11100,153,11253,4.84
Kumargram,4,NOTA,,,NOTA,2706,12,2718,1.17
Kumargram,5,Aron Murmu,M,ST,IND,1774,7,1781,0.77
Kumargram,6,Shrilal Oron,M,ST,KPPU,1643,8,1651,0.71
Kumargram,7,KALAWATI CHIK BARAIK,F,ST,JD(U),1381,18,1399,0.6
Kumargram,8,Shailen Marandi,M,ST,BMUP,735,5,740,0.32
Kalchini,1,BISHAL LAMA,M,ST,BJP,102247,857,103104,52.65
Kalchini,2,PASSANG LAMA,M,ST,AITC,73896,632,74528,38.06
Kalchini,3,AVIJIT NARJINARY,M,ST,INC,5386,96,5482,2.8
Kalchini,4,BINAY NARJINARY,M,ST,IND Chalata,2416,9,2425,1.24
Kalchini,5,NOTA,,,NOTA,2370,7,2377,1.21
Kalchini,6,REKHA LAKRA (EKKA),F,ST,IND,2242,9,2251,1.15
Kalchini,7,PRAKASH KUJUR,M,ST,IND,1858,11,1869,0.95
Kalchini,8,CHANCHAL NARJINARY,M,ST,LJP,1163,1,1164,0.59
Kalchini,9,SUKUMAR MINJ,M,ST,IND,907,3,910,0.46
Kalchini,10,ASHOK LAMA,M,ST,NPEP,794,9,803,0.41
Kalchini,11,HAKIM MAHALI,M,ST,BMUP,475,4,479,0.24
Kalchini,12,MADAN KUMAR URAON,M,ST,JD(U),419,4,423,0.22
Alipurduars,1,SUMAN KANJILAL,M,GEN,BJP,105517,1816,107333,48.19
Alipurduars,2,SOURAV CHAKRABORTY (GHUTIS),M,GEN,AITC,90183,1143,91326,41.0
Alipurduars,3,DEBA PRASAD ROY,M,GEN,INC,15203,448,15651,7.03
Alipurduars,4,NIKHIL CHANDRA RAIBIR,M,SC,IND,2333,18,2351,1.06
Alipurduars,5,NOTA,,,NOTA,1950,31,1981,0.89
Alipurduars,6,RINKU GHOSH,F,GEN,IND CALCULATOR,1384,9,1393,0.63
Alipurduars,7,PIJUSH KANTI SARMA,M,GEN,SUCI,1090,21,1111,0.5
Alipurduars,8,ASHIM ROY,M,SC,IND,677,19,696,0.31
Alipurduars,9,KUSHAL KUMAR ROY,M,SC,IND,613,7,620,0.28
Alipurduars,10,ABINASH DAS,M,GEN,IND,267,3,270,0.12
Falakata,1,DIPAK BARMAN,M,SC,BJP,101833,1160,102993,46.71
Falakata,2,SUBHASH CHANDRA ROY,M,SC,AITC,98181,822,99003,44.9
Falakata,3,KSHITISH CHANDRA RAY,M,SC,CPI(M),10496,276,10772,4.89
Falakata,4,NOTA,,,NOTA,1964,6,1970,0.89
Falakata,5,DIPAK CHANDRA MANDAL (SANTOSH),M,SC,IND,1675,3,1678,0.76
Falakata,6,SWAPAN ROY,M,SC,IND,1639,6,1645,0.75
Falakata,7,TAPAN ADHIKARI,M,SC,SWJP,1367,10,1377,0.62
Falakata,8,TARANI ROY,M,SC,SUCI,608,5,613,0.28
Falakata,9,BIMAL ROY,M,SC,AMB,446,3,449,0.2
Madarihat,1,MANOJ TIGGA,M,ST,BJP,89913,805,90718,54.35
Madarihat,2,RAJESH LAKRA,M,ST,AITC,60591,442,61033,36.56
Madarihat,3,SUBHASH LOHAR,M,ST,RSP,6983,89,7072,4.24
Madarihat,4,NOTA,,,NOTA,2607,15,2622,1.57
Madarihat,5,UTTAM BARUA,M,ST,BSP,1687,9,1696,1.02
Madarihat,6,VIVEK PRADEEP TETE,M,ST,BTP,1536,4,1540,0.92
Madarihat,7,PANCHU ORAON,M,ST,NPEP,1261,11,1272,0.76
Madarihat,8,SUDHIST BARAIK,M,ST,SUCI,961,6,967,0.58
Dhupguri,1,BISHNU PADA RAY,M,SC,BJP,103533,1155,104688,45.65
Dhupguri,2,MITALI ROY,F,SC,AITC,99293,1040,100333,43.75
Dhupguri,3,PRADIP KUMAR ROY,M,SC,CPI(M),12856,251,13107,5.72
Dhupguri,4,BEDODYUTI ROY,M,SC,BSP,2171,7,2178,0.95
Dhupguri,5,HRISHIKESH ROY,M,SC,IND Chalata,2167,2,2169,0.95
Dhupguri,6,SUKUMAR ROY,M,SC,KPPU,2144,11,2155,0.94
Dhupguri,7,NOTA,,,NOTA,1976,8,1984,0.87
Dhupguri,8,DHIRANJAN ROY,M,SC,SUCI,1604,9,1613,0.7
Dhupguri,9,SUJAN BARMAN,M,SC,IND,1090,6,1096,0.48
Maynaguri,1,Kaushik Roy,M,SC,BJP,113928,1378,115306,48.84
Maynaguri,2,Manoj Roy,M,SC,AITC,102341,1054,103395,43.79
Maynaguri,3,Naresh Chandra Roy,M,SC,RSP,5592,168,5760,2.44
Maynaguri,4,NOTA,,,NOTA,3072,23,3095,1.31
Maynaguri,5,Biswanath Roy,M,SC,KPPU,2843,25,2868,1.21
Maynaguri,6,Uday Shankar Adhikari,M,SC,CPI(ML)(L),1546,9,1555,0.66
Maynaguri,7,Ganesh Mandal,M,SC,BSP,1539,11,1550,0.66
Maynaguri,8,Bilash Sarkar,M,SC,IND,1075,4,1079,0.46
Maynaguri,9,Shyamal Roy,M,SC,SUCI,737,8,745,0.32
Maynaguri,10,Binay Sarkar,M,SC,AMB,737,3,740,0.31
Jalpaiguri,1,DR. PRADIP KUMAR BARMA,M,SC,AITC,93648,2020,95668,42.34
Jalpaiguri,2,SOUJIT SINGHA (PIKU),M,SC,BJP,92373,2354,94727,41.93
Jalpaiguri,3,SUKHBILAS BARMA,M,SC,INC,23173,1055,24228,10.72
Jalpaiguri,4,NOTA,,,NOTA,3334,47,3381,1.5
Jalpaiguri,5,SUBHASH KUMAR SARKAR,M,SC,BSP,1590,19,1609,0.71
Jalpaiguri,6,RAKHI SARKAR,F,SC,IND,1537,19,1556,0.69
Jalpaiguri,7,HAREKRISHNA SARKAR,M,SC,IND,1142,5,1147,0.51
Jalpaiguri,8,ISWAR BARAI,M,SC,AMB,999,12,1011,0.45
Jalpaiguri,9,HARIDAS BISWAS,M,SC,IND,949,13,962,0.43
Jalpaiguri,10,PALENDRA NATH ROY,M,SC,SUCI,884,14,898,0.4
Jalpaiguri,11,PRAHLAD ROY,M,SC,IND,725,21,746,0.33
Rajganj,1,KHAGESWAR ROY,M,SC,AITC,103587,1054,104641,48.5
Rajganj,2,SUPEN ROY,M,SC,BJP,87822,1046,88868,41.19
Rajganj,3,RATAN KUMAR ROY,M,SC,CPI(M),11897,211,12108,5.61
Rajganj,4,NOTA,,,NOTA,3161,14,3175,1.47
Rajganj,5,TAPATI ROY (BARMAN),F,SC,KPPU,1851,9,1860,0.86
Rajganj,6,UDAY ROY,M,SC,SUCI,1590,15,1605,0.74
Rajganj,7,SANTI KISHOR BARARI,M,SC,BSP,1498,12,1510,0.7
Rajganj,8,DIGBIJAY MANDAL,M,SC,IND,1137,9,1146,0.53
Rajganj,9,NIRODE CHANDRA ADHIKARY,M,SC,AMB,833,9,842,0.39
Dabgram-Fulbari,1,Sikha Chatterjee,F,GEN,BJP,128302,786,129088,49.85
Dabgram-Fulbari,2,Goutam Deb,M,GEN,AITC,100844,651,101495,39.19
Dabgram-Fulbari,3,Dilip Singh,M,GEN,CPI(M),17747,251,17998,6.95
Dabgram-Fulbari,4,NOTA,,,NOTA,3358,21,3379,1.3
Dabgram-Fulbari,5,Radhakrishna Namadas,M,SC,BSP,1391,4,1395,0.54
Dabgram-Fulbari,6,Maheswar Barman,M,SC,IND,1388,3,1391,0.54
Dabgram-Fulbari,7,Rakhi Mandal,F,GEN,IND,1087,6,1093,0.42
Dabgram-Fulbari,8,Subash Biswas,M,SC,IND,1047,5,1052,0.41
Dabgram-Fulbari,9,Amitav Naskar,M,SC,RPI(A),876,5,881,0.34
Dabgram-Fulbari,10,Shambhu Sutradhar,M,GEN,AMB,646,4,650,0.25
Dabgram-Fulbari,11,Maniul Islam,M,GEN,SUCI,544,3,547,0.21
Mal,1,BULU CHIK BARAIK,M,ST,AITC,98697,389,99086,46.46
Mal,2,MAHESH BAGEY,M,ST,BJP,93106,515,93621,43.9
Mal,3,MANU ORAON,M,ST,CPI(M),10797,132,10929,5.12
Mal,4,NOTA,,,NOTA,4688,11,4699,2.2
Mal,5,GITA ORAON,F,ST,SUCI,3000,8,3008,1.41
Mal,6,BABLU MAJHI,M,ST,IND,1907,5,1912,0.9
Nagrakata,1,PUNA BHENGRA,M,ST,BJP,94371,351,94722,49.55
Nagrakata,2,JOSEPH MUNDA,M,ST,AITC,70999,248,71247,37.27
Nagrakata,3,SUKBIR SUBBA,M,ST,INC,12378,64,12442,6.51
Nagrakata,4,NOTA,,,NOTA,5448,6,5454,2.85
Nagrakata,5,ROBAT MUNDA,M,ST,IND,3280,3,3283,1.72
Nagrakata,6,BENAM ORAON,M,ST,PrPP,2243,4,2247,1.18
Nagrakata,7,ASHAN TIRKEY,M,ST,IND Wheel,1770,4,1774,0.93
Kalimpong,1,RUDEN SADA LEPCHA,M,ST,IND,57344,862,58206,37.59
Kalimpong,2,SUVA PRADHAN,M,GEN,BJP,53227,1109,54336,35.09
Kalimpong,3,DR. R.B. BHUJEL,M,GEN,IND,31479,377,31856,20.57
Kalimpong,4,NOTA,,,NOTA,2142,18,2160,1.39
Kalimpong,5,PENJO GOMPU BHUTIA,M,GEN,NPEP,1750,55,1805,1.17
Kalimpong,6,SONGDEN LEPCHA,M,ST,IND,1688,32,1720,1.11
Kalimpong,7,DILIP PRADHAN,M,GEN,INC,1632,83,1715,1.11
Kalimpong,8,UJJWAL RAI,M,GEN,IND,1495,67,1562,1.01
Kalimpong,9,BHUPENDRA LEPCHA,M,ST,IND,1463,40,1503,0.97
Darjeeling,1,NEERAJ TAMANG ZIMBA,M,ST,BJP,67161,1746,68907,40.88
Darjeeling,2,KESHAV RAJ SHARMA,M,GEN,IND,46927,704,47631,28.26
Darjeeling,3,PEMBA TSHERING,M,ST,IND,37804,436,38240,22.68
Darjeeling,4,SURAJ GURUNG,M,GEN,IND,2766,89,2855,1.69
Darjeeling,5,NOTA,,,NOTA,2495,45,2540,1.51
Darjeeling,6,NIMA GYAMTSHO SHERPA,M,ST,IND,2042,46,2088,1.24
Darjeeling,7,GAUTAM RAJ RAI,M,GEN,CPI(M),1821,92,1913,1.13
Darjeeling,8,ANJANI SHARMA,F,GEN,IND,1600,77,1677,0.99
Darjeeling,9,MILAN THOKAR,M,GEN,IND,1367,30,1397,0.83
Darjeeling,10,BHARAT PRAKASH RAI,M,GEN,IND,1286,41,1327,0.79
Kurseong,1,Bishnu Prasad Sharma (alias B.P. Bajgain),M,GEN,BJP,72153,1322,73475,41.86
Kurseong,2,Tshering Lama,F,ST,IND,57044,916,57960,33.02
Kurseong,3,Narbu Lama,M,ST,IND,32770,324,33094,18.85
Kurseong,4,Uttam Brahman,M,GEN,CPI(M),2494,51,2545,1.45
Kurseong,5,NOTA,,,NOTA,2372,45,2417,1.38
Kurseong,6,Ugam Lama,M,ST,IND,2235,64,2299,1.31
Kurseong,7,Bikram Rai,M,GEN,IND,1402,27,1429,0.81
Kurseong,8,Pranav Pradhan,M,GEN,IND Walking,1341,25,1366,0.78
Kurseong,9,Bhupendra Lepcha,M,ST,IND,935,25,960,0.55
Matigara-Naxalbari,1,Anandamay Barman,M,SC,BJP,138819,966,139785,58.1
Matigara-Naxalbari,2,Rajen Sundas,M,SC,AITC,68454,483,68937,28.65
Matigara-Naxalbari,3,Sankar Malakar,M,SC,INC,22865,195,23060,9.58
Matigara-Naxalbari,4,NOTA,,,NOTA,3888,24,3912,1.63
Matigara-Naxalbari,5,Rakesh Mondal,M,SC,IND,2032,14,2046,0.85
Matigara-Naxalbari,6,Sudip Mandal,M,SC,BSP,1564,13,1577,0.66
Matigara-Naxalbari,7,Harish Chandra Barman,M,SC,SUCI,1261,13,1274,0.53
Siliguri,1,Sankar Ghosh,M,GEN,BJP,88580,790,89370,50.03
Siliguri,2,Dr. Omprakash Mishra,M,GEN,AITC,53153,631,53784,30.11
Siliguri,3,Asok Bhattacharya,M,GEN,CPI(M),28269,566,28835,16.14
Siliguri,4,NOTA,,,NOTA,2035,39,2074,1.16
Siliguri,5,Kakali Majumdar (Roy),F,GEN,BSP,1241,14,1255,0.7
Siliguri,6,Habul Ghosh,M,GEN,IND,951,6,957,0.54
Siliguri,7,Nintu Dutta,M,GEN,RPI(A),645,4,649,0.36
Siliguri,8,Chayan Guha,M,GEN,AMB,592,2,594,0.33
Siliguri,9,Bhushan Kumar Soni,M,GEN,JD(U),443,4,447,0.25
Siliguri,10,Dipti Roy,F,GEN,SUCI,368,11,379,0.21
Siliguri,11,Chhotan Saha,M,GEN,RPPRINAT,301,5,306,0.17
Phansidewa,1,Durga Murmu,M,ST,BJP,105123,528,105651,50.89
Phansidewa,2,Chhotan Kisku,M,ST,AITC,77599,341,77940,37.55
Phansidewa,3,Sunil Chandra Tirkey,M,ST,INC,12747,68,12815,6.17
Phansidewa,4,Sumanti Ekka,F,ST,CPI(ML)(L),2769,18,2787,1.34
Phansidewa,5,NOTA,,,NOTA,2564,11,2575,1.24
Phansidewa,6,Karuna Ranjan Soren,M,ST,BSP,2284,7,2291,1.1
Phansidewa,7,Bhola Tirki,M,ST,SUCI,1827,5,1832,0.88
Phansidewa,8,Amit Lakra,M,ST,BTP,1683,16,1699,0.82
Chopra,1,HAMIDUL RAHAMAN,M,GEN,AITC,123944,979,124923,61.2
Chopra,2,MD. SHAHIN AKHTER,M,GEN,BJP,59604,414,60018,29.4
Chopra,3,ANWARUL HAQUE,M,GEN,CPI(M),12188,91,12279,6.02
Chopra,4,AJOY KUMAR SINHA,M,SC,AMB,3158,8,3166,1.55
Chopra,5,SUROJIT KISKU,M,ST,IND,2190,3,2193,1.07
Chopra,6,NOTA,,,NOTA,1527,4,1531,0.75
Islampur,1,ABDUL KARIM CHOWDHARY,M,GEN,AITC,99380,751,100131,58.91
Islampur,2,SAUMYAROOP MANDAL,M,GEN,BJP,61909,782,62691,36.88
Islampur,3,SADIQUL ISLAM,M,GEN,INC,3405,56,3461,2.04
Islampur,4,NOTA,,,NOTA,1962,14,1976,1.16
Islampur,5,BIRENDRA NATH SINHA,M,SC,SUCI,1142,10,1152,0.68
Islampur,6,MD. NAIYAR ALAM,M,GEN,IND,563,0,563,0.33
Goalpokhar,1,MD. GHULAM RABBANI,M,GEN,AITC,105083,566,105649,65.4
Goalpokhar,2,MD. GHULAM SARWAR,M,GEN,BJP,32029,106,32135,19.89
Goalpokhar,3,MASOOD MD. NASEEM AHSEN,M,GEN,INC,19305,86,19391,12.0
Goalpokhar,4,NOTA,,,NOTA,2014,2,2016,1.25
Goalpokhar,5,SUNIL BISWAS,M,SC,BSP,861,4,865,0.54
Goalpokhar,6,SHAMBHU LAL ROY,M,SC,IND,693,1,694,0.43
Goalpokhar,7,RAGHU NATH SINGHA,M,SC,IND,405,0,405,0.25
Goalpokhar,8,NABIN CHANDRA SINGHA,M,SC,SUCI,378,2,380,0.24
Chakulia,1,AZAD MINHAJUL ARFIN,M,GEN,AITC,85922,389,86311,49.78
Chakulia,2,SACHIN PRASAD,M,SC,BJP,52170,304,52474,30.26
Chakulia,3,ALI IMRAN RAMZ,M,GEN,AIFB,28521,183,28704,16.55
Chakulia,4,GOUTAM PAUL,M,SC,BSP,2720,5,2725,1.57
Chakulia,5,NOTA,,,NOTA,1183,3,1186,0.68
Chakulia,6,MAZHAR IMAM,M,GEN,IND,1046,0,1046,0.6
Chakulia,7,KAMKSHYA SARKAR,M,GEN,JD(U),950,4,954,0.55
Karandighi,1,GOUTAM PAUL,M,GEN,AITC,115956,638,116594,54.7
Karandighi,2,SUBHAS CHANDRA SINHA S/O: HARANARAYAN SINHA,M,SC,BJP,79417,551,79968,37.52
Karandighi,3,MD. HAFIZUL IQBAL,M,GEN,AIFB,9077,69,9146,4.29
Karandighi,4,NOTA,,,NOTA,2443,6,2449,1.15
Karandighi,5,BENOY KUMAR DAS,M,GEN,IND,1266,3,1269,0.6
Karandighi,6,HARUN RASHID,M,GEN,BSP,1128,11,1139,0.53
Karandighi,7,SUBHASH CHANDRA SINHA S/O: BUYASU LAL SINGHA,M,SC,IND,690,3,693,0.33
Karandighi,8,ABDULLAH,M,GEN,IND,631,1,632,0.3
Karandighi,9,DINESH CHANDRA SINGHA,M,SC,IND,536,1,537,0.25
Karandighi,10,BISHWAJIT SINHA,M,SC,AMB,266,5,271,0.13
Karandighi,11,SANTHAPAN HASDAK,M,ST,BMUP,229,2,231,0.11
Karandighi,12,SHANTILAL SINGHA,M,SC,SUCI,201,6,207,0.1
Hemtabad,1,SATYAJIT BARMAN,M,SC,AITC,115346,1079,116425,52.14
Hemtabad,2,CHANDIMA ROY,F,SC,BJP,88481,729,89210,39.95
Hemtabad,3,BHUPEN BARMAN,M,SC,CPI(M),9297,156,9453,4.23
Hemtabad,4,NOTA,,,NOTA,2154,6,2160,0.97
Hemtabad,5,MANINDRA BARMAN,M,SC,AMB,1580,1,1581,0.71
Hemtabad,6,JYOTIRMAY BARMAN,M,SC,SUCI,1510,8,1518,0.68
Hemtabad,7,BINAY KUMAR ROY,M,SC,BSP,1406,5,1411,0.63
Hemtabad,8,SANKAR BARMAN,M,SC,IND,840,2,842,0.38
Hemtabad,9,DIPU BARMAN,M,SC,IND,699,2,701,0.31
Kaliaganj,1,SOUMEN ROY,M,SC,BJP,115577,1191,116768,48.71
Kaliaganj,2,TAPAN DEB SINGHA,M,SC,AITC,93723,1225,94948,39.61
Kaliaganj,3,PRAVASH SARKAR,M,SC,INC,16451,319,16770,7.0
Kaliaganj,4,SUDHIR SARKAR,M,SC,IND,3978,26,4004,1.67
Kaliaganj,5,NOTA,,,NOTA,2993,14,3007,1.25
Kaliaganj,6,GOPAL CHUNARY,M,SC,SUCI,1070,3,1073,0.45
Kaliaganj,7,SURESH BARMAN,M,SC,IND,1025,3,1028,0.43
Kaliaganj,8,SHYAMA SARKAR,M,SC,IND,776,5,781,0.33
Kaliaganj,9,Dilip Chandra Ray,M,SC,IND Chalata,544,8,552,0.23
Kaliaganj,10,ALEN SARKAR,M,SC,IND,407,1,408,0.17
Kaliaganj,11,NAMALA KANTA SARKAR,M,SC,AMB,385,2,387,0.16
Raiganj,1,KRISHNA KALYANI,M,GEN,BJP,78308,1467,79775,49.44
Raiganj,2,AGARWAL KANAIA LAL,M,GEN,AITC,58007,1020,59027,36.58
Raiganj,3,MOHIT SENGUPTA,M,GEN,INC,16524,674,17198,10.66
Raiganj,4,NOTA,,,NOTA,2459,9,2468,1.53
Raiganj,5,RAJU PAUL,M,GEN,IND,1361,0,1361,0.84
Raiganj,6,MINAKSHI ROY,F,SC,IND,462,3,465,0.29
Raiganj,7,DIPENDU SARKAR,M,GEN,IND,208,3,211,0.13
Raiganj,8,GOUTAM BISWAS,M,GEN,AMB,204,4,208,0.13
Raiganj,9,MANJU DAS (MANDAL),F,GEN,IND,194,2,196,0.12
Raiganj,10,BAHAMONI HANSDA,F,ST,BMUP,128,5,133,0.08
Raiganj,11,SANATAN MAJUMDAR,M,GEN,SUCI,133,0,133,0.08
Raiganj,12,JYOTI BARMAN,M,SC,IND,98,1,99,0.06
Raiganj,13,BHABATOSH LAHIRI,M,GEN,JD(U),73,0,73,0.05
Itahar,1,MOSARAF HUSSEN,M,GEN,AITC,113867,778,114645,59.1
Itahar,2,AMIT KUMAR KUNDU,M,GEN,BJP,69949,721,70670,36.43
Itahar,3,SRIKUMAR MUKHERJEE,M,GEN,CPI,4801,107,4908,2.53
Itahar,4,NOTA,,,NOTA,1239,1,1240,0.64
Itahar,5,MOJAMMEL HAQUE,M,GEN,IND,1024,0,1024,0.53
Itahar,6,MOFAKKERUL ISLAM,M,GEN,AIMIM,828,3,831,0.43
Itahar,7,FIROJ ALAM,M,GEN,IND,344,2,346,0.18
Itahar,8,TUFAN BARMAN,M,SC,IND,185,4,189,0.1
Itahar,9,DILIP KUMAR BARMAN,M,SC,IND,131,2,133,0.07
Kushmandi,1,REKHA ROY,F,SC,AITC,89185,783,89968,48.88
Kushmandi,2,RANJIT KUMAR ROY,M,SC,BJP,76650,734,77384,42.04
Kushmandi,3,NARMADA CHANDRA ROY,M,SC,RSP,12386,185,12571,6.83
Kushmandi,4,NOTA,,,NOTA,1590,8,1598,0.87
Kushmandi,5,BISWANATH SARKAR,M,SC,BSP,1428,8,1436,0.78
Kushmandi,6,BHIMNAL SARKAR,M,SC,IND,1118,0,1118,0.61
Kumarganj,1,TORAF HOSSAIN MANDAL,M,GEN,AITC,89117,646,89763,52.52
Kumarganj,2,Manas Sarkar,M,GEN,BJP,59736,660,60396,35.33
Kumarganj,3,CHAUDHURI NARGIS BANU,F,GEN,INC,17344,134,17478,10.23
Kumarganj,4,RANAJIT DEB,M,GEN,SUCI,1211,4,1215,0.71
Kumarganj,5,NOTA,,,NOTA,1115,10,1125,0.66
Kumarganj,6,RUBEL SARKAR,M,GEN,KPPU,946,5,951,0.56
Balurghat,1,Ashok Kumar Lahiri,M,GEN,BJP,70484,1645,72129,47.42
