Constituency,No,Name,Gender,Category,Party,General Vote,Postal Vote,Total,PctVotes
Cooch Behar Uttar,4,None of the Above,,,NOTA,2641,8,2649,1.18
Cooch Behar Uttar,5,PRAFULLA KUMAR DAS,M,SC,IND,1843,0,1843,0.82
Cooch Behar Uttar,6,GOPAL ROY,M,SC,IND,1762,3,1765,0.79
Cooch Behar Uttar,7,ANILCHANDRA ROY,M,SC,SUCI,1730,1,1731,0.77
Cooch Behar Uttar,8,HARIBALA RAY,M,SC,AMB,1503,4,1507,0.67
Cooch Behar Uttar,9,NARESH CHANDRA ROY,M,SC,IND,1286,0,1286,0.57
Cooch Behar Dakshin,1,MIHIR GOSWAMI,M,GEN,AITC,82317,532,82849,46.24
Cooch Behar Dakshin,2,DEBASIS BANIK,M,GEN,AIFB,63385,1269,64654,36.08
Cooch Behar Dakshin,3,NIKHIL RANJAN DEY,M,GEN,BJP,18108,68,18176,10.14
Cooch Behar Dakshin,4,MAYA MAJUMDER,F,SC,BSP,5197,0,5197,2.9
Cooch Behar Dakshin,5,AMITA DAS,F,GEN,AMB,2702,1,2703,1.51
Cooch Behar Dakshin,6,None of the Above,,,NOTA,2474,15,2489,1.39
Cooch Behar Dakshin,7,NAZMA KHANDAKAR,F,GEN,SUCI,1667,11,1678,0.94
Cooch Behar Dakshin,8,AKIK HOSSAIN CHOWDHURY,M,GEN,KPPU,1427,0,1427,0.8
Sitalkuchi,1,HITEN BARMAN,M,SC,AITC,101360,287,101647,44.18
Sitalkuchi,2,NAMADIPTI ADHIKARY,F,SC,CPM,85746,418,86164,37.45
Sitalkuchi,3,BAREN CHANDRA BARMAN,M,SC,BJP,27325,22,27347,11.89
Sitalkuchi,4,PREMANANDA BARMAN,M,SC,KPPU,4953,0,4953,2.15
Sitalkuchi,5,JAGADISH ADHIKARI,M,SC,SUCI,2267,0,2267,0.99
Sitalkuchi,6,GIRINDRA NATH BARMAN,M,SC,BSP,2232,3,2235,0.97
Sitalkuchi,7,None of the Above,,,NOTA,2103,3,2106,0.92
Sitalkuchi,8,SUBODH BARMAN,M,SC,AMB,1838,0,1838,0.8
Sitalkuchi,9,FULKUMAR BARMAN,M,SC,IND,1520,0,1520,0.66
Sitai,1,JAGADISH CHANDRA BARMA BASUNIA,M,SC,AITC,103035,375,103410,47.39
Sitai,2,KESHAB CHANDRA RAY,M,SC,INC,77927,232,78159,35.82
Sitai,3,BHABEN CHANDRA RAY,M,SC,BJP,27789,20,27809,12.74
Sitai,4,None of the Above,,,NOTA,2474,2,2476,1.13
Sitai,5,TAPAS BARMAN,M,SC,AMB,2364,0,2364,1.08
Sitai,6,MANI MAHANTA,M,SC,BSP,2358,1,2359,1.08
Sitai,7,ANIL CHANDRA BARMAN ROY,M,SC,SUCI,1648,1,1649,0.76
Dinhata,1,UDAYAN GUHA,M,GEN,AITC,100122,610,100732,45.04
Dinhata,2,AKSHAY THAKUR,M,GEN,AIFB,78247,692,78939,35.3
Dinhata,3,SACHINDRA NATH ADHIKARI,M,SC,BJP,25542,56,25598,11.45
Dinhata,4,DEBENDRA NATH ROY,M,SC,BSP,5842,0,5842,2.61
Dinhata,5,DR. MD. FAZLE HAQUE,M,GEN,IND,4006,4,4010,1.79
Dinhata,6,None of the Above,,,NOTA,2612,7,2619,1.17
Dinhata,7,AMINAL HOQUE,M,GEN,WPOI,2217,3,2220,0.99
Dinhata,8,SABITRI BASUNIYA (ROY),F,SC,IND,2170,0,2170,0.97
Dinhata,9,ANITA BARMAN,F,SC,IND,777,0,777,0.35
Dinhata,10,PRADIP ROY,M,SC,SUCI,727,3,730,0.33
Natabari,1,RABINDRA NATH GHOSH,M,GEN,AITC,92655,602,93257,46.72
Natabari,2,TAMSER ALI,M,GEN,CPM,76265,835,77100,38.63
Natabari,3,ALI HOSSAIN,M,GEN,BJP,21462,62,21524,10.78
Natabari,4,TAPAN BARMAN,M,SC,KPPU,3204,0,3204,1.61
Natabari,5,BABLA DEB,M,GEN,AMB,1677,1,1678,0.84
Natabari,6,None of the Above,,,NOTA,1562,11,1573,0.79
Natabari,7,RABIA SARKAR,F,GEN,SUCI,1258,3,1261,0.63
Tufanganj,1,FAZAL KARIM MIAH,M,GEN,AITC,84555,497,85052,44.21
Tufanganj,2,SHYAMAL CHOUDHURY,M,GEN,INC,68936,846,69782,36.27
Tufanganj,3,BIVAS SEN ISHORE,M,SC,BJP,29991,57,30048,15.62
Tufanganj,4,None of the Above,,,NOTA,2492,6,2498,1.3
Tufanganj,5,MANOJ KUMAR MANDAL,M,GEN,IND,1957,1,1958,1.02
Tufanganj,6,NUBASH BARMAN,M,SC,KPPU,1744,0,1744,0.91
Tufanganj,7,SANTANA DATTA,F,GEN,SUCI,1315,5,1320,0.69
Kumargram,1,JAMES KUJUR,M,ST,AITC,77437,231,77668,37.27
Kumargram,2,MANOJ KUMAR ORAON,M,ST,RSP,71123,392,71515,34.32
Kumargram,3,LEOS KUJUR,M,ST,BJP,45103,34,45137,21.66
Kumargram,4,None of the Above,,,NOTA,5873,1,5874,2.82
Kumargram,5,VINAY KR. MINJ,M,ST,JMM,3296,0,3296,1.58
Kumargram,6,ELIASH NARJINARY,M,ST,BSP,2736,1,2737,1.31
Kumargram,7,RAM ORAON,M,ST,SUCI,2179,0,2179,1.05
Kalchini,1,WILSON CHAMPRAMARY,M,ST,AITC,61996,65,62061,34.99
Kalchini,2,BISHAL LAMA,M,ST,BJP,60466,84,60550,34.14
Kalchini,3,AVIJIT NARJINARY,M,ST,INC,14196,24,14220,8.02
Kalchini,4,JOHN PHILIP XALXO,M,ST,RSP,11886,19,11905,6.71
Kalchini,5,BISWAJIT MINJ,M,ST,IND,7421,37,7458,4.21
Kalchini,6,ATUL SUBA,M,ST,IND,6495,19,6514,3.67
Kalchini,7,None of the Above,,,NOTA,4519,5,4524,2.55
Kalchini,8,PANKAJ TIRKEY,M,ST,JMM,2550,1,2551,1.44
Kalchini,9,SUJIT MAHALI,M,ST,IND,2453,0,2453,1.38
Kalchini,10,RAKESH KIRAN INDWAR,M,ST,IND,1951,3,1954,1.1
Kalchini,11,SUKHAN MUNDA,M,ST,SUCI,1148,0,1148,0.65
Kalchini,12,JAY BHADRA KARJEE,M,ST,IND,1087,0,1087,0.61
Kalchini,13,USHA TAMANG,F,ST,IND,931,0,931,0.52
Alipurduars,1,SOURAV CHAKRABORTY(GHUTISH),M,GEN,AITC,89122,573,89695,44.09
Alipurduars,2,BISWA RANJAN SARKAR,M,GEN,INC,77007,730,77737,38.21
Alipurduars,3,KUSHAL CHATTERJEE (TATU),M,GEN,BJP,20067,31,20098,9.88
Alipurduars,4,NIRMAL DAS,M,GEN,RSP,7292,32,7324,3.6
Alipurduars,5,None of the Above,,,NOTA,2969,11,2980,1.46
Alipurduars,6,ALOKESH DAS,M,SC,SUCI,2306,2,2308,1.13
Alipurduars,7,DALENDRA NATH RAY,M,SC,AMB,1341,0,1341,0.66
Alipurduars,8,SANTOSH KUMAR BALO,M,GEN,IND,987,2,989,0.49
Alipurduars,9,GOURI ROY,F,SC,BSP,974,0,974,0.48
Falakata,1,ANIL ADHIKARI,M,SC,AITC,86272,375,86647,43.77
Falakata,2,KSHITISH CHANDRA RAY,M,SC,CPM,69196,612,69808,35.27
Falakata,3,NARAYAN CHANDRA MONDAL,M,SC,BJP,30613,26,30639,15.48
Falakata,4,None of the Above,,,NOTA,3808,4,3812,1.93
Falakata,5,BISHNUPADA ROY,M,SC,IND,3004,3,3007,1.52
Falakata,6,PARITOSH CH. ROY,M,SC,IND,2016,0,2016,1.02
Falakata,7,TARANI ROY,M,SC,SUCI,1342,2,1344,0.68
Falakata,8,NARESH CHANDRA BARMAN,M,SC,IND,667,0,667,0.34
Madarihat,1,MANOJ TIGGA,M,ST,BJP,66855,134,66989,43.98
Madarihat,2,PADAM LAMA,M,ST,AITC,44799,152,44951,29.51
Madarihat,3,KUMARI KUJUR,F,ST,RSP,29731,154,29885,19.62
Madarihat,4,None of the Above,,,NOTA,5065,3,5068,3.33
Madarihat,5,PADAM ORAON,M,ST,JMM,3088,1,3089,2.03
Madarihat,6,SUDHIST BARAIK,M,ST,SUCI,2319,0,2319,1.52
Dhupguri,1,MITALI ROY,F,SC,AITC,90603,178,90781,43.49
Dhupguri,2,MAMATA ROY,F,SC,CPM,71102,415,71517,34.26
Dhupguri,3,AGUN ROY,M,SC,BJP,36141,26,36167,17.33
Dhupguri,4,None of the Above,,,NOTA,3259,3,3262,1.56
Dhupguri,5,MADHUSUDAN ROY,M,SC,KPPU,2644,0,2644,1.27
Dhupguri,6,NIRANJAN ROY,M,SC,SUCI,2361,0,2361,1.13
Dhupguri,7,BEDDYUTI ROY,M,SC,BSP,2002,0,2002,0.96
Maynaguri,1,ANANTA DEB ADHIKARI,M,SC,AITC,100588,249,100837,47.85
Maynaguri,2,CHHAYA DEY (ROY),F,SC,RSP,65470,460,65930,31.29
Maynaguri,3,BISWAJIT ROY,M,SC,BJP,30708,34,30742,14.59
Maynaguri,4,None of the Above,,,NOTA,4362,6,4368,2.07
Maynaguri,5,KAUSIK ROY,M,SC,KPPU,3855,1,3856,1.83
Maynaguri,6,AMIT KUMAR SARKAR,M,SC,BSP,1818,0,1818,0.86
Maynaguri,7,RUPESWAR RAY,M,SC,CPI(ML)(L),1700,1,1701,0.81
Maynaguri,8,BINAY SARKAR,M,SC,AMB,1476,0,1476,0.7
Jalpaiguri,1,SUKHBILAS BARMA,M,SC,INC,92933,1620,94553,45.41
Jalpaiguri,2,DHARTTIMOHAN ROY,M,SC,AITC,88526,870,89396,42.93
Jalpaiguri,3,TAPAN ROY,M,SC,BJP,15977,52,16029,7.7
Jalpaiguri,4,None of the Above,,,NOTA,3364,19,3383,1.62
Jalpaiguri,5,HARIBHAKTA SARDAR,M,SC,SUCI,2581,5,2586,1.24
Jalpaiguri,6,GANESH MANDAL,M,SC,BSP,2264,5,2269,1.09
Rajganj,1,KHAGESWAR ROY,M,SC,AITC,89424,361,89785,46.15
Rajganj,2,SATYENDRA NATH MONDAL,M,SC,CPM,74662,446,75108,38.61
Rajganj,3,PRAKASH CHANDRA ROY,M,SC,BJP,17796,15,17811,9.16
Rajganj,4,None of the Above,,,NOTA,3523,2,3525,1.81
Rajganj,5,HRIDAY ROY,M,SC,KPPU,3468,3,3471,1.78
Rajganj,6,ARUN BARMAN,M,SC,SUCI,3021,6,3027,1.56
Rajganj,7,RAJAT ROY,M,SC,BSP,1804,0,1804,0.93
Dabgram-Fulbari,1,GOUTAM DEB,M,GEN,AITC,105540,229,105769,47.49
Dabgram-Fulbari,2,DILIP SINGH,M,GEN,CPM,81620,338,81958,36.8
Dabgram-Fulbari,3,RATHINDRA BOSE (RATHIN),M,GEN,BJP,26163,32,26195,11.76
Dabgram-Fulbari,4,None of the Above,,,NOTA,3277,6,3283,1.47
Dabgram-Fulbari,5,SUBHAS BISWAS,M,SC,IND,2180,0,2180,0.98
Dabgram-Fulbari,6,SANJIBAN SARKAR,M,SC,BSP,1405,4,1409,0.63
Dabgram-Fulbari,7,ABUL KASHEM,M,GEN,SUCI,1013,4,1017,0.46
Dabgram-Fulbari,8,DULAL SARKAR,M,GEN,AMB,913,1,914,0.41
Mal,1,BULU CHIK BARAIK,M,ST,AITC,84727,150,84877,44.28
Mal,2,AUGUSTUS KERKETTA,M,ST,CPM,66106,309,66415,34.65
Mal,3,MAHESH BAGE,M,ST,BJP,29370,10,29380,15.33
Mal,4,None of the Above,,,NOTA,4266,7,4273,2.23
Mal,5,ANJALI MALO,F,ST,BSP,4168,0,4168,2.17
Mal,6,JYOTISH MINJ,M,ST,SUCI,2553,0,2553,1.33
Nagrakata,1,SUKRA MUNDA,M,ST,AITC,57201,105,57306,32.46
Nagrakata,2,JOSEPH MUNDA,M,ST,INC,53928,150,54078,30.63
Nagrakata,3,JOHN BARLA,M,ST,BJP,47793,43,47836,27.1
Nagrakata,4,None of the Above,,,NOTA,6195,1,6196,3.51
Nagrakata,5,GANESH LAMA,M,ST,ABGL,3854,1,3855,2.18
Nagrakata,6,INDAR DEO ORAON,M,ST,IND,3828,1,3829,2.17
Nagrakata,7,PAWAN KUMAR KHERWAR,M,ST,IND,3442,0,3442,1.95
Kalimpong,1,SARITA RAI,F,GEN,GOJAM,67293,400,67693,49.06
Kalimpong,2,HARKA BAHADUR CHETTRI,M,GEN,IND,55722,540,56262,40.77
Kalimpong,3,KISHORE PRADHAN,M,GEN,IND,5699,15,5714,4.14
Kalimpong,4,None of the Above,,,NOTA,3350,14,3364,2.44
Kalimpong,5,AMAR LOKSOM,M,GEN,GRAC,3196,5,3201,2.32
Kalimpong,6,BHRIGU NATH GUPTA,M,SC,IND,1751,0,1751,1.27
Darjeeling,1,AMAR SINGH RAI,M,GEN,GOJAM,94624,762,95386,59.85
Darjeeling,2,SARDA RAI SUBBA,F,GEN,AITC,45183,290,45473,28.53
Darjeeling,3,GOVIND CHETTRI,M,GEN,IND,8960,22,8982,5.64
Darjeeling,4,None of the Above,,,NOTA,5772,45,5817,3.65
Darjeeling,5,ASHOK KUMAR LEPCHA,M,ST,GRAC,3686,30,3716,2.33
Kurseong,1,ROHIT SHARMA,M,GEN,GOJAM,86561,386,86947,53.03
Kurseong,2,SHANTA CHHETRI,F,GEN,AITC,52996,225,53221,32.46
Kurseong,3,ARUN KUMAR GHATANI,M,SC,IND,12188,31,12219,7.45
Kurseong,4,None of the Above,,,NOTA,7391,35,7426,4.53
Kurseong,5,DHURBA DEWAN,M,GEN,GRAC,4148,12,4160,2.54
Matigara-naxalbari,1,SANKAR MALAKAR,M,SC,INC,86107,334,86441,41.28
Matigara-naxalbari,2,AMAR SINHA,M,SC,AITC,67612,202,67814,32.39
Matigara-naxalbari,3,ANANDAMOY BARMAN,M,SC,BJP,44573,52,44625,21.31
Matigara-naxalbari,4,None of the Above,,,NOTA,3299,8,3307,1.58
Matigara-naxalbari,5,BIDUR BARMAN,M,SC,KPPU,2463,1,2464,1.18
Matigara-naxalbari,6,SUDIP MANDAL,M,SC,BSP,1849,0,1849,0.88
Matigara-naxalbari,7,GOUTAM KIRTANIA,M,SC,IND,1739,0,1739,0.83
Matigara-naxalbari,8,KSHITISH CHANDRA ROY,M,SC,SUCI,1137,1,1138,0.54
Siliguri,1,ASOK BHATTACHARYA,M,GEN,CPM,77513,541,78054,46.36
Siliguri,2,BHAICHUNG BHUTIA,M,GEN,AITC,63805,177,63982,38.01
Siliguri,3,GITA CHATTERJEE,F,GEN,BJP,19284,16,19300,11.46
Siliguri,4,None of the Above,,,NOTA,2868,9,2877,1.71
Siliguri,5,RABINDRA RAI,M,GEN,GRAC,923,1,924,0.55
Siliguri,6,HARIDAS THAKUR,M,GEN,BSP,830,2,832,0.49
Siliguri,7,MAHENDRA KUMAR JAIN,M,GEN,JMM,618,0,618,0.37
Siliguri,8,MD. ZAFAR EQBAL,M,GEN,IND,499,0,499,0.3
Siliguri,9,VISHWJEET CHATTERJI,M,GEN,AMB,491,0,491,0.29
Siliguri,10,TANMAY DUTTA,M,GEN,SUCI,438,1,439,0.26
Siliguri,11,DASARATH KARMAKAR,M,GEN,ABHM,334,0,334,0.2
Phansidewa,1,SUNIL CHANDRA TIRKEY,M,ST,INC,72891,267,73158,40.36
Phansidewa,2,CAROLUS LAKRA,M,ST,AITC,65962,122,66084,36.45
Phansidewa,3,DURGA MURMU,M,ST,BJP,32876,18,32894,18.15
Phansidewa,4,None of the Above,,,NOTA,2627,2,2629,1.45
Phansidewa,5,JEMSHAN TIRKEY,M,ST,IND,2072,0,2072,1.14
Phansidewa,6,LALU ORAON,M,ST,CPI(ML)(L),1595,1,1596,0.88
Phansidewa,7,BIKASH BIRJU,M,ST,BMUP,1474,0,1474,0.81
Phansidewa,8,SUSHIL LAKRA,M,ST,IND,1373,0,1373,0.76
Chopra,1,HAMIDUL RAHAMAN,M,GEN,AITC,74016,374,74390,41.82
Chopra,2,AKRAMUL HOQUE,M,GEN,CPM,57270,260,57530,32.34
Chopra,3,SAJEN RAM SINGHA,M,SC,BJP,15798,17,15815,8.89
Chopra,4,ASHOK ROY,M,GEN,IND,15588,30,15618,8.78
Chopra,5,SARKAR MURMU,M,ST,JDP,4214,0,4214,2.37
Chopra,6,NASEER AHMED KHAN,M,GEN,GOJAM,3531,0,3531,1.98
Chopra,7,DR MD TABIBUR RAHMAN,M,GEN,IND,2681,0,2681,1.51
Chopra,8,None of the Above,,,NOTA,2655,0,2655,1.49
Chopra,9,RUHIDAS URAW,M,ST,BSP,1456,0,1456,0.82
Islampur,1,KANAIA LAL AGARWAL,M,GEN,INC,64967,592,65559,43.88
Islampur,2,ABDUL KARIM CHOWDHARY,M,GEN,AITC,57508,333,57841,38.71
Islampur,3,SAUMYAROOP MANDAL,M,GEN,BJP,18620,48,18668,12.49
Islampur,4,None of the Above,,,NOTA,1942,1,1943,1.3
Islampur,5,MD ARSAD,M,GEN,JD(U),1517,4,1521,1.02
Islampur,6,SEFALI ROY MONDAL,F,SC,BSP,1163,1,1164,0.78
Islampur,7,ALTAMAS CHOWDHURY,M,GEN,GOJAM,1067,2,1069,0.72
Islampur,8,ABDUS SUBHAN,M,GEN,SP,923,0,923,0.62
Islampur,9,DAYAL SINGHA,M,SC,SUCI,714,2,716,0.48
Goalpokhar,1,MD GULAM RABBANI,M,GEN,AITC,64796,73,64869,43.91
Goalpokhar,2,AFJAL HOSEN,M,GEN,INC,56992,129,57121,38.67
Goalpokhar,3,DEBASHIS SARKAR,M,GEN,BJP,16960,6,16966,11.49
Goalpokhar,4,JULIA YEASMIN,F,GEN,SP,2887,0,2887,1.95
Goalpokhar,5,DULAL RAJBANSHI,M,SC,SUCI,1827,0,1827,1.24
Goalpokhar,6,MANSINGHA HASDA,M,ST,BSP,1805,0,1805,1.22
Goalpokhar,7,None of the Above,,,NOTA,1557,0,1557,1.05
Goalpokhar,8,RAGHU NATH SINGHA,M,SC,IND,685,0,685,0.46
Chakulia,1,ALI IMRAN RAMZ,M,GEN,AIFB,64041,144,64185,42.65
Chakulia,2,ASHIM KUMAR MRIDHA,M,SC,BJP,36619,37,36656,24.36
Chakulia,3,ALEMA NOORIE,F,GEN,AITC,36156,42,36198,24.05
Chakulia,4,GOUTAM CHANDRA PAUL,M,SC,BSP,8719,0,8719,5.79
Chakulia,5,MIR MASUD ALAM,M,GEN,SP,1839,0,1839,1.22
Chakulia,6,None of the Above,,,NOTA,1612,1,1613,1.07
Chakulia,7,RAFIKUL ALAM,M,GEN,IND,1290,0,1290,0.86
Karandighi,1,MANODEB SINHA,M,GEN,AITC,54379,220,54599,29.44
Karandighi,2,GOKUL ROY,M,SC,AIFB,51061,306,51367,27.69
Karandighi,3,SK. SAMSUL,M,GEN,IND,35483,64,35547,19.16
Karandighi,4,ABDUL JALIL,M,GEN,BJP,28962,16,28978,15.62
Karandighi,5,NIROD BANDHU BISWAS,M,SC,BSP,4762,0,4762,2.57
Karandighi,6,None of the Above,,,NOTA,4376,0,4376,2.36
Karandighi,7,ABDUL MAHID HOSSAIN,M,GEN,SP,2030,0,2030,1.09
Karandighi,8,SUSHANTA KUMAR DAS,M,SC,IND,1628,0,1628,0.88
Karandighi,9,REHENA KHATUN,F,GEN,IND,1357,0,1357,0.73
Karandighi,10,SHANTI LAL SINGHA,M,SC,SUCI,846,0,846,0.46
Hemtabad,1,DEBENDRA NATH ROY,M,SC,CPM,79870,549,80419,40.67
Hemtabad,2,SABITA KSHETRY,F,SC,AITC,66968,315,67283,34.03
Hemtabad,3,BHANU RAM BARMAN,M,SC,BJP,40759,36,40795,20.63
Hemtabad,4,None of the Above,,,NOTA,2435,2,2437,1.23
Hemtabad,5,ALAKESH BARMAN,M,SC,BSP,2065,0,2065,1.04
Hemtabad,6,JYOTIRMAY BARMAN,M,SC,SUCI,2048,0,2048,1.04
Hemtabad,7,BESHILA BARMAN,F,SC,IND,1459,0,1459,0.74
Hemtabad,8,KANAI LAL BISWAS,M,SC,IND,1230,0,1230,0.62
Kaliaganj,1,PRAMATHA NATH RAY,M,SC,INC,111864,1004,112868,52.58
Kaliaganj,2,BASANTA ROY,M,SC,AITC,65831,435,66266,30.87
Kaliaganj,3,RUPAK ROY,M,SC,BJP,27200,52,27252,12.7
Kaliaganj,4,None of the Above,,,NOTA,3530,3,3533,1.65
Kaliaganj,5,BASUDEB DEBSHARMA,M,SC,BSP,1848,2,1850,0.86
Kaliaganj,6,JITEN ROY SINHA,M,SC,SWJP,1560,0,1560,0.73
Kaliaganj,7,JAGADISH RAJBHAR,M,SC,CPI(ML)(L),1313,0,1313,0.61
Raiganj,1,MOHIT SENGUPTA,M,GEN,INC,86249,1734,87983,58.98
Raiganj,2,PURNENDU DEY (BABLU),M,GEN,AITC,36226,510,36736,24.63
Raiganj,3,PRADIP SARKAR,M,GEN,BJP,12901,60,12961,8.69
Raiganj,4,ARUN CHANDRA DEY,M,GEN,SP,6153,1,6154,4.13
Raiganj,5,None of the Above,,,NOTA,1980,5,1985,1.33
Raiganj,6,HARI CHARAN DAS,M,GEN,KPPU,1179,1,1180,0.79
Raiganj,7,SWAPAN KUMAR DAS,M,SC,BSP,987,3,990,0.66
Raiganj,8,BENOY KUMAR DAS,M,GEN,IND,692,0,692,0.46
Raiganj,9,SANATAN DUTTA,M,GEN,SUCI,487,0,487,0.33
Itahar,1,AMAL ACHARJEE,M,GEN,AITC,88111,396,88507,52.26
Itahar,2,SRIKUMAR MUKHERJEE,M,GEN,CPI,68845,542,69387,40.97
Itahar,3,YUNISH HOQUE,M,GEN,BJP,7119,7,7126,4.21
Itahar,4,None of the Above,,,NOTA,1740,3,1743,1.03
Itahar,5,HOPNA MURMU,M,ST,JDP,1576,0,1576,0.93
Itahar,6,JAINAL ABEDIN,M,GEN,BSP,1008,0,1008,0.6
Kushmandi,1,NARMADA CHANDRA ROY,M,SC,RSP,68571,394,68965,42.18
Kushmandi,2,REKHA ROY,F,SC,AITC,65275,161,65436,40.02
Kushmandi,3,RANJIT KUMAR ROY,M,SC,BJP,20162,21,20183,12.34
Kushmandi,4,None of the Above,,,NOTA,3936,5,3941,2.41
Kushmandi,5,JAYDEB MONDAL,M,SC,BSP,2009,0,2009,1.23
Kushmandi,6,ANIL KUMAR SINGHA,M,SC,IND,1495,0,1495,0.91
Kushmandi,7,JAGANNATH ROY,M,SC,IND,1468,0,1468,0.9
Kumarganj,1,TORAF HOSSAIN MANDAL,M,GEN,AITC,64255,246,64501,41.88
Kumarganj,2,MAFUJA KHATUN,F,GEN,CPM,60575,430,61005,39.61
Kumarganj,3,MANAS SARKAR,M,GEN,BJP,22144,57,22201,14.41
Kumarganj,4,None of the Above,,,NOTA,2469,1,2470,1.6
Kumarganj,5,BIPUL TUDU,M,ST,BSP,1395,0,1395,0.91
Kumarganj,6,GOLOK BARMAN,M,SC,BMUP,1062,3,1065,0.69
Kumarganj,7,NARAYAN CHANDRA ROY,M,GEN,IND,706,0,706,0.46
Kumarganj,8,RANJIT DEV,M,GEN,SUCI,679,0,679,0.44
Balurghat,1,BISWANATH CHOUDHURY,M,GEN,RSP,59193,1397,60590,42.82
Balurghat,2,CHAKRAVORTI SHANKAR,M,GEN,AITC,58370,770,59140,41.79
Balurghat,3,GAUTAM CHAKRABORTY,M,GEN,BJP,15162,96,15258,10.78
Balurghat,4,None of the Above,,,NOTA,3334,23,3357,2.37
Balurghat,5,SAMAR KUMAR MAHATO,M,GEN,BSP,1668,0,1668,1.18
Balurghat,6,BIREN MAHANTA,M,GEN,SUCI,1487,3,1490,1.05
Tapan,1,BACHCHU HANSDA,M,ST,AITC,72048,463,72511,42.78
Tapan,2,UROW RAGHU,M,ST,RSP,67329,781,68110,40.19
Tapan,3,KRISHNA KUJUR,M,ST,BJP,20440,70,20510,12.1
Tapan,4,None of the Above,,,NOTA,4088,13,4101,2.42
Tapan,5,BABLU KISKU,M,ST,BSP,1912,1,1913,1.13
Tapan,6,EKKA KALICHARAN,M,ST,SUCI,1298,0,1298,0.77
Tapan,7,RAM KISKU,M,ST,CPI(ML)(L),1044,1,1045,0.62
Gangarampur,1,GOUTAM DAS,M,SC,INC,79672,729,80401,46.37
Gangarampur,2,SATYENDRA NATH ROY,M,SC,AITC,69312,356,69668,40.18
Gangarampur,3,SANATAN KARMAKAR,M,SC,BJP,17565,39,17604,10.15
Gangarampur,4,None of the Above,,,NOTA,2432,0,2432,1.4
Gangarampur,5,JATINDRA NATH BARMAN,M,SC,BSP,1486,0,1486,0.86
Gangarampur,6,SUKLA BHUIMALI,F,SC,CPIM,1066,2,1068,0.62
Gangarampur,7,BIMAL CHANDRA BARMAN,M,SC,IND,719,0,719,0.41
Harirampur,1,RAFIKUL ISLAM,M,GEN,CPM,71063,384,71447,42.83
Harirampur,2,BIPLAB MITRA,M,GEN,AITC,66668,275,66943,40.13
Harirampur,3,PHANI BHUSAN MAHATA,M,GEN,BJP,19802,43,19845,11.9
Harirampur,4,TARUN SARKAR,M,SC,KPPU,2020,0,2020,1.21
Harirampur,5,BIBHUTI TUDU,M,ST,JDP,1904,0,1904,1.14
Harirampur,6,ANARUL HAQUE ANSARI,M,GEN,JMM,1673,0,1673,1.0
Harirampur,7,None of the Above,,,NOTA,1646,2,1648,0.99
Harirampur,8,DURGA HEMBRAM,M,ST,BSP,1336,0,1336,0.8
Habibpur,1,KHAGEN MURMU,M,ST,CPM,63641,454,64095,34.76
Habibpur,2,AMAL KISKU,M,ST,AITC,61343,240,61583,33.4
Habibpur,3,PRODIP BASKEY,M,ST,BJP,41590,66,41656,22.59
Habibpur,4,None of the Above,,,NOTA,3754,1,3755,2.04
Habibpur,5,MANDAL MARDI,M,ST,IND,2917,1,2918,1.58
Habibpur,6,SUBIN HANSDA,M,ST,BMUP,2775,5,2780,1.51
